"","V1","V2","V3"
"1",193.741508572862,68.848342338049,63.1137450479643
"2",196.960878859123,68.5844242754751,74.6244806840387
"3",268.736822465181,111.690638532716,93.1208181001474
"4",233.832983563112,123.782749174126,128.153345362079
"5",294.54977087854,171.83845319164,161.048353047089
"6",307.304666832777,271.608197088255,223.607876190235
"7",408.470968761977,362.057379222695,344.88382367113
"8",413.530104153029,380.898404614219,419.455362947125
"9",477.593577866406,471.854381122501,441.932700750639
"10",576.588648024802,544.968935500426,521.050981514781
"11",553.767903803429,595.09455541572,532.958774186541
"12",582.569587257123,512.450112764222,483.978006455586
"13",497.170801868776,458.109486164671,441.280521189468
"14",410.141484780846,369.163382116398,462.90307811247
"15",297.130502274966,310.237644628276,454.007261368817
"16",185.413964034687,239.480960843243,406.906166704616
